model,mae,mse,rmse,r2_train,r2_test
Decision Tree,90.78996173236543,72100.13272709723,268.5146787926076,1.0,0.9585948905942341
XGB Regressor,77.26629770728479,29818.665418329463,172.68081948592166,0.9905758364524266,0.9828759662807688
Random Forest Regressor,72.23793814724185,34536.59625797811,185.8402439139007,0.996599690860448,0.9801665892630608
Extra Tree Regressor,67.9256476843497,29193.198688433953,170.86017291467883,0.9999999999999986,0.9832351545013926
Extra Tree Regressor tuned,51.646818753259495,17258.780104670965,131.37267640065406,0.9999077946091646,0.9900887605692937
